Rk,Player,Pos,CrdY
1,Brenden Aaronson,MF,0
2,Thelo Aasgaard,MF,0
3,Hamza Abdelkarim,FW,0
4,Hossam Abdelmaguid,DF,0
5,Mohamed Abdelmonem,DF,0
6,Ali Abdi,DF,0
7,Saud Abdulhamid,DF,1
8,Abdulla Abdullaev,DF,0
9,Yusuf Abdurisag,FW,0
10,Husam Abu Dahab,DF,1
11,Mohammad Abu Hasheesh,DF,0
12,Mohannad Abu Taha,DF,1
13,Mo Abualnadi,DF,0
14,Yazeed Abulaila,GK,0
15,Mahmoud Abunada,GK,1
16,Elias Achouri,FWMF,0
17,Ché Adams,FW,0
18,Jayden Adams,MF,0
19,Tyler Adams,MF,1
20,Ricardo Adé,DF,0
21,Ibrahim Adel,MF,0
22,Simon Adingra,FWMF,0
23,Jonas Adjetey,DF,0
24,Michel Aebischer,MFFW,0
25,Akram Afif,FWMF,0
26,Emmanuel Agbadou,DF,0
27,Rodrigo Aguirre,FW,0
28,Ali Ahmed,MF,0
29,Homam Ahmed,DF,0
30,Rayan Aït-Nouri,DF,0
31,Kristoffer Ajer,DF,1
32,Manuel Akanji,DF,0
33,Nathan Aké,DF,0
34,Yunus Akgün,MF,1
35,Maghnes Akliouche,MF,0
36,Kerem Aktürkoğlu,FW,0
37,Ahmed Alaaeldin,FW,0
38,David Alaba,DF,0
39,Kerim Alajbegović,MF,0
40,Jordy Alcivar,MF,1
41,Omar Alderete,DF,0
42,Almoez Ali,FW,0
43,Hussein Ali,DF,0
44,Mohanad Ali,FW,0
45,Taha Ali,FWMF,0
46,Khojiakbar Alijonov,MF,0
47,Ali Alipour,FW,0
48,Alisson,GK,0
49,Thiago Almada,MF,1
50,Miguel Almirón,MFFW,1
51,Júnior Alonso,DF,1
52,Barış Alper Yılmaz,MFFW,0
53,Roberto Alvarado,FWMF,0
54,Edson Álvarez,MFDF,1
55,Julián Álvarez,FW,0
56,Ayoube Amaimouni,MF,0
57,Zeki Amdouni,FWMF,0
58,Michael Amir Murillo,DFMF,0
59,Nadiem Amiri,MF,0
60,Amir Al Ammari,MF,2
61,Azizbek Amonov,FW,0
62,Mohamed Amoura,FWMF,0
63,Sofyan Amrabat,MF,0
64,Abdulelah Al-Amri,DF,1
65,Youssef Amyn,MF,0
66,Elliot Anderson,MF,1
67,Andrés Andrade Cedeño,DF,1
68,Fredrik André Bjørkan,DF,0
69,Nilson Angulo,MF,0
70,Waldemar Anton,DFMF,0
71,Jeremy Antonisse,FWMF,0
72,Houssem Aouar,MF,0
73,Oswin Appollis,MFFW,0
74,Yazan Al-Arab,DF,1
75,Maxi Araújo,FWMF,0
76,Tomás Araújo,DF,1
77,Telmo Arcanjo,MF,0
78,Álex Arce,FW,1
79,Carlens Arcus,MFDF,1
80,Max Arfsten,MF,0
81,Jhon Arias,MF,1
82,Santiago Arias,DF,0
83,Marko Arnautović,FW,1
84,Benjamin Asare,GK,0
85,Emam Ashour,MF,0
86,Rustam Ashurmatov,DF,0
87,Lawrence Ati-Zigi,GK,0
88,Marwan Attia,MF,2
89,Fredrik Aursnes,MFDF,0
90,Gabriel Ávalos,FW,0
91,Yasin Ayari,MF,1
92,Oğuz Aydın,DF,0
93,Jordan Ayew,FW,0
94,Kaan Ayhan,DFMF,0
95,Neil El Aynaoui,MF,0
96,Ali Azaizeh,MF,0
97,Juninho Bacuna,MF,2
98,Leandro Bacuna,MF,1
99,Álex Baena,MFFW,1
100,Esmir Bajraktarevic,MF,0
101,Cédric Bakambu,FW,0
102,Fabián Balbuena,DF,0
103,Folarin Balogun,FW,1
104,Simon Banza,FWMF,0
105,Yoel Bárcenas,MF,1
106,Valentín Barco,DFMF,0
107,Bradley Barcola,MF,1
108,Abdülkerim Bardakcı,DF,0
109,Ivan Bašić,MF,0
110,Ahmed Basil,GK,0
111,Martin Baturina,MFFW,0
112,Ibrahim Bayesh,MFFW,0
113,Samed Baždar,FW,0
114,Riechedly Bazoer,DF,0
115,Patrick Beach,GK,0
116,Aziz Behich,MF,0
117,Maximilian Beier,FWMF,0
118,Alireza Beiranvand,GK,0
119,Zineddine Belaïd,DF,0
120,Rafik Belghali,DF,0
121,Joe Bell,MF,0
122,Jean-Ricner Bellegarde,MF,1
123,Jude Bellingham,MF,1
124,Mortadha Ben Ouanes,DFMF,0
125,Anis Ben Slimane,MFFW,0
126,Oussama Benbot,GK,0
127,Nadhir Benbouali,FW,0
128,Gilson Benchimol,FW,0
129,Ramy Bensebaini,DF,0
130,Nabil Bentaleb,MF,0
131,Rodrigo Bentancur,MF,1
132,Patrick Berg,MF,1
133,Sander Berge,MF,0
134,Lucas Bergvall,MF,1
135,Sebastian Berhalter,MF,1
136,Alexander Bernhardsson,MF,0
137,Tyler Bindon,DF,0
138,César Blackman,MFDF,1
139,Damián Bobadilla,MF,0
140,Oscar Bobb,FW,0
141,Moïse Bombito,DF,0
142,Theo Bongonda,FWMF,0
143,Ange-Yoan Bonny,FW,0
144,Jordy Bos,MFDF,1
145,Ayyoub Bouaddi,MF,0
146,Hicham Boudaoui,MF,1
147,Karim Boudiaf,MF,0
148,Adil Boulbina,FW,0
149,Yassine Bounou,GK,0
150,Nawaf Boushal,DF,0
151,Michael Boxall,DF,0
152,Sultan Al-Brake,DF,0
153,Joshua Brenet,DF,0
154,Brian Brobbey,FW,0
155,Dylan Bronn,DF,0
156,Nathaniel Brown,DF,0
157,Tajon Buchanan,MF,0
158,Ante Budimir,FW,0
159,Firas Al-Buraikan,FW,1
160,Cameron Burgess,DF,0
161,Dan Burn,DF,0
162,Dženis Burnić,MF,0
163,Gustavo Caballero,FWMF,0
164,Jovane Cabral,FW,0
165,Liberato Cacace,DF,0
166,Juan Cáceres,DF,1
167,Sebastián Cáceres,DF,0
168,Jordy Caicedo,FW,0
169,Moisés Caicedo,MF,1
170,Uğurcan Çakır,GK,0
171,Hakan Çalhanoğlu,MF,0
172,Lamine Camara,MF,1
173,Jaminton Campaz,FWMF,0
174,İrfan Can Kahveci,MF,0
175,José Canale,DF,0
176,João Cancelo,DF,0
177,Agustín Canobbio,FW,0
178,Casemiro,MF,2
179,Josué Casimir,MF,1
180,Timothy Castagne,DF,1
181,Kevin Castaño,MF,0
182,Jens Castrop,MF,0
183,Zeki Çelik,DF,0
184,Lukáš Červ,MF,0
185,Fares Chaïbi,MF,1
186,Trevoh Chalobah,DFMF,0
187,Štěpán Chaloupek,DF,0
188,Mouhib Chamakh,GK,0
189,Firas Chaouat,FW,0
190,Luis Chávez,MF,0
191,Mateo Chávez,DF,0
192,Samir Chergui,DF,0
193,Rayan Cherki,MF,0
194,Mathieu Choinière,MF,0
195,Tahith Chong,MF,0
196,Tomáš Chorý,FW,0
197,Ryan Christie,MF,1
198,Carney Chukwuemeka,MF,0
199,Mojmír Chytil,FW,0
200,Brian Cipenga,MFFW,0
201,Alessandro Circati,DF,1
202,Pathé Ciss,DF,0
203,Livano Comenencia,MF,1
204,Eray Cömert,DF,0
205,Francisco Conceição,MF,0
206,Jhon Córdoba,FW,0
207,José Córdoba,DF,0
208,Derek Cornelius,DF,1
209,Diogo Costa,GK,0
210,Nuno da Costa,FW,0
211,Samu Costa,MF,0
212,Vladimír Coufal,MFDF,0
213,Thibaut Courtois,GK,0
214,Maxime Crépeau,GK,0
215,Max Crocombe,GK,0
216,Pau Cubarsí,DF,1
217,Andrés Cubas,MF,1
218,Cucho,FWMF,0
219,Marc Cucurella,DF,1
220,Matheus Cunha,FW,0
221,Findlay Curtis,MF,1
222,Aymen Dahmen,GK,0
223,Diogo Dalot,DFMF,0
224,Danilo,DF,2
225,Kevin Danso,DF,0
226,Vladimír Darida,MF,0
227,Jonathan David,FW,1
228,Promise David,FW,0
229,Alphonso Davies,DFFW,0
230,Erick Davis,DF,0
231,Nasser Al-Dawsari,MF,1
232,Salem Al-Dawsari,MF,1
233,Mohammad Al-Dawud,FWMF,0
234,Kevin De Bruyne,MF,1
235,Maxim De Cuyper,DF,1
236,Luc De Fougerolles,DF,2
237,Charles De Ketelaere,FWMF,0
238,Nicolás De La Cruz,MF,1
239,Rodrigo De Paul,MF,1
240,Amar Dedić,DF,1
241,Louicius Deedson,MF,0
242,Hannes Delcroix,DF,0
243,Ousmane Dembélé,MF,0
244,Merih Demiral,DF,0
245,Ermedin Demirović,FW,1
246,Sergiño Dest,MF,0
247,Frans Dhia Putros,DF,0
248,Oumar Diakité,FW,0
249,Amad Diallo,MFFW,0
250,Assane Diao,MF,0
251,Habib Diarra,MF,0
252,Rúben Dias,DF,1
253,Krépin Diatta,DF,0
254,Mory Diaw,GK,0
255,Brahim Díaz,MF,0
256,Ismael Díaz,FWMF,0
257,Luis Díaz,FWMF,0
258,Bamba Dieng,FW,0
259,Lucas Digne,DF,0
260,Diney,DF,1
261,Ousmane Diomande,DF,0
262,Yan Diomandé,MFFW,0
263,Issa Diop,DF,3
264,El Hadji Malick Diouf,DF,0
265,Ritsu Doan,MF,0
266,Jeremy Doku,MF,0
267,Merchas Doski,DF,1
268,David Douděra,MF,0
269,Désiré Doué,MF,0
270,Guéla Doué,DF,1
271,Deroy Duarte,MF,0
272,Laros Duarte,MF,0
273,Denzel Dumfries,DFMF,0
274,Jean-Kevin Duverne,DF,0
275,Lyndon Dykes,FWMF,0
276,Edin Džeko,FW,1
277,Roshon van Eijma,DF,0
278,Anthony Elanga,MFFW,0
279,Meschak Elia,FWMF,0
280,Callan Elliot,DF,0
281,Eren Elmalı,DF,1
282,Nico Elvedi,DF,1
283,Breel Embolo,FW,2
284,Julio Enciso,FW,0
285,Endrick,FW,0
286,Sherzod Esanov,MF,0
287,Fidel Escobar,DF,0
288,Pervis Estupiñán,MF,0
289,Derrick Etienne,FWMF,0
290,Stephen Eustáquio,MF,0
291,Martin Expérience,DFMF,0
292,Saeid Ezatolahi,MF,2
293,Eberechi Eze,MF,0
294,Fabinho,DFMF,1
295,José Fajardo,FW,1
296,Odeh Al-Fakhouri,MFFW,0
297,Henrik Falchener,DF,0
298,Marko Farji,MF,0
299,Christian Fassnacht,FWMF,0
300,Abdul Fatawu Issahaku,FWMF,1
301,Ahmed Fathy,MF,2
302,Hamdy Fathy,DFMF,1
303,Ahmed Fatouh,DF,1
304,Abbosbek Fayzullayev,MF,0
305,João Félix,MF,0
306,Lewis Ferguson,MF,0
307,Bruno Fernandes,MF,0
308,Enzo Fernández,MF,2
309,Matias Fernandez-Pardo,FWMF,0
310,Álvaro Fidalgo,MF,0
311,Sherel Floranus,DF,0
312,Seko Fofana,MF,1
313,Yahia Fofana,GK,0
314,Deveron Fonville,DF,0
315,Yassin Fortuné,FWMF,0
316,Lyle Foster,FW,0
317,Alan Franco,DF,2
318,Alex Freeman,DF,0
319,Matt Freese,GK,0
320,Remo Freuler,MF,0
321,Marco Friedl,DF,0
322,Juriën Gaari,DF,1
323,Jassem Gaber,MF,1
324,Cody Gakpo,FW,0
325,Matías Galarza,MF,2
326,Hernán Galíndez,GK,0
327,Jesús Gallardo,DF,0
328,Ahmed Al-Ganehi,FW,0
329,Ben Gannon-Doak,MF,0
330,Eric García,DFMF,0
331,Gavi,FW,0
332,Jason Geria,DF,0
333,Khalid Al Ghannam,MF,0
334,Ismaël Gharbi,MF,0
335,Mehdi Ghayedi,FW,0
336,Farés Ghedjemis,FWMF,0
337,Saman Ghoddos,MF,0
338,Mohammad Ghorbani,MF,0
339,Lee Gi-hyuk,DF,1
340,Armin Gigovic,MF,0
341,Orlando Gill,GK,0
342,Santiago Giménez,FW,0
343,Aníbal Godoy,MF,0
344,Andrés Gómez,MF,0
345,Diego Gómez,MF,2
346,Gustavo Gómez,DF,0
347,Armando González,FW,0
348,Nicolás González,MF,0
349,Anthony Gordon,MF,0
350,Leon Goretzka,MF,0
351,Kenji Gorré,FWMF,0
352,Keisuke Gotō,FW,0
353,Amine Gouiri,FW,0
354,Ryan Gravenberch,MF,0
355,Michael Gregoritsch,FW,0
356,Florian Grillitsch,DFMF,0
357,Pascal Groß,DFMF,0
358,Gabriel Gudmundsson,MFDF,1
359,Cho Gue-sung,FW,1
360,Marc Guéhi,DF,1
361,Evann Guessand,FWMF,0
362,Idrissa Gueye,MF,0
363,Pape Gueye,MF,1
364,Bruno Guimarães,MF,0
365,Deniz Gül,FW,0
366,Arda Güler,MF,0
367,Angus Gunn,GK,0
368,Malo Gusto,DF,0
369,Brian Gutiérrez,MF,1
370,Jorge Gutiérrez,DF,0
371,Joško Gvardiol,DF,0
372,Viktor Gyökeres,FW,1
373,Aziz Gʻaniyev,MF,0
374,Erling Haaland,FW,0
375,Ihsan Haddad,DF,0
376,Anis Hadj Moussa,MF,0
377,Jaouen Hadjam,DF,0
378,Amir Hadžiahmetović,MF,0
379,Dennis Hadžikadunić,DF,0
380,Karim Hafez,DF,0
381,Ehsan Hajsafi,DF,1
382,Achraf Hakimi,DF,1
383,Redouane Halhal,DF,1
384,Ali Al Hamadi,FW,0
385,Abdullah Al-Hamdan,FW,0
386,Mohamed Amine Ben Hamida,DF,0
387,Odiljon Hamrobekov,MF,1
388,Lee Han-beom,DF,0
389,Grant Hanley,DF,0
390,Sontje Hansen,FW,0
391,Mohamed Hany,DF,0
392,Moteb Al-Harbi,DF,0
393,Saleh Hardani,DF,0
394,Carlos Harvey,MF,1
395,Akam Hashim,DF,0
396,Haissem Hassan,MF,2
397,Jalal Hassan,GK,0
398,Abdulaziz Hatem,MF,0
399,Jorrel Hato,DF,0
400,Kai Havertz,FW,1
401,Hassan Al-Haydos,MF,0
402,Jan Paul van Hecke,DF,0
403,Hwang Hee-chan,FW,0
404,Torbjørn Heggem,DF,0
405,Alaa Al Hejji,MF,0
406,Dean Henderson,GK,0
407,Jordan Henderson,MF,1
408,Jack Hendry,DF,0
409,Luiz Henrique,FWMF,0
410,Theo Hernández,DF,0
411,Lucas Herrington,DF,0
412,Son Heung-min,FW,0
413,Aaron Hickey,DF,1
414,Isak Hien,DF,1
415,Piero Hincapié,DF,1
416,Adam Hložek,FW,0
417,Tomáš Holeš,DF,0
418,Amirhossein Hosseinzadeh,FW,0
419,Robin Hranáč,DF,0
420,Ajdin Hrustic,MF,0
421,César Huerta,FWMF,0
422,Al-Hashmi Al-Hussain,MF,0
423,Ayman Hussein,FW,0
424,Oh Hyeon-gyu,FW,0
425,Yang Hyun-jun,FWMF,0
426,Roger Ibanez,DF,1
427,Yasser Ibrahim,DF,2
428,Borja Iglesias,FW,0
429,Hwang In-beom,MF,0
430,Christ Inao Oulaï,MF,0
431,Zidane Iqbal,MF,0
432,Nestory Irankunda,FWMF,0
433,Jackson Irvine,MF,1
434,Alexander Isak,FW,0
435,Wilson Isidor,FW,0
436,Jamshid Iskanderov,FWMF,0
437,Zaid Ismail,MF,0
438,Ko Itakura,DF,0
439,Jacob Italiano,DF,1
440,Hiroki Ito,DF,0
441,Junya Itō,MF,0
442,Cedric Itten,FWMF,0
443,Nicolas Jackson,FW,0
444,Lee Jae-sung,FW,0
445,Alireza Jahanbakhsh,FWMF,0
446,Ismail Jakobs,DF,0
447,Reece James,DF,0
448,Amer Jamous,MF,0
449,Luca Jaquez,DF,0
450,Ardon Jashari,MF,0
451,Ali Jasim,MF,0
452,Danley Jean-Jacques,MF,1
453,Eom Ji-sung,MF,0
454,Raúl Jiménez,FW,0
455,Kim Jin-gyu,MF,0
456,Park Jinseob,DFMF,0
457,Ruslanbek Jiyanov,FW,0
458,Alistair Johnston,DF,1
459,Frenkie de Jong,MF,0
460,Lenny Joseph,FW,0
461,Edmilson Junior,MFFW,0
462,Vinicius Júnior,FW,0
463,Elijah Just,MF,1
464,Musab Al Juwayr,MFFW,0
465,Ayoub El Kaabi,FW,0
466,Ozan Kabak,DF,0
467,Ferdi Kadioglu,DF,0
468,Kaku,MF,0
469,Saša Kalajdžić,FW,0
470,Gédéon Kalulu,DF,0
471,Daichi Kamada,MF,1
472,Hossein Kanaanizadegan,DF,1
473,Harry Kane,FW,0
474,Lee Kang-in,FW,1
475,Mohamed Kanno,MF,1
476,Steve Kapuadi,DF,0
477,Bekhruz Karimov,DF,0
478,Jesper Karlström,MF,0
479,Gervane Kastaneer,FWMF,2
480,Nikola Katić,DF,1
481,Edo Kayembe,MF,0
482,Joris Kayembe,DFFW,0
483,Franck Kessié,MF,1
484,Abdullah Al-Khaibari,MF,0
485,Shoja' Khalilzadeh,DF,1
486,Dostonbek Khamdamov,MF,0
487,Bilal El Khannouss,MFFW,1
488,Rani Khedira,MF,1
489,Boualem Khoukhi,DF,0
490,Abdukodir Khusanov,DF,2
491,Joshua Kimmich,DF,0
492,Justin Kluivert,FWMF,0
493,Gregor Kobel,GK,0
494,Orkun Kökçü,MF,0
495,Sead Kolašinac,DF,0
496,Ghislain Konan,DF,0
497,Ibrahima Konaté,DF,0
498,Ismaël Koné,MF,0
499,Manu Koné,MF,1
500,Ezri Konsa,DF,0
501,Teun Koopmeiners,DFMF,0
502,Odilon Kossounou,DF,0
503,Kalidou Koulibaly,DF,0
504,Jules Koundé,DF,0
505,Mateo Kovačić,MF,0
506,Matej Kovar,GK,0
507,Andrej Kramarić,FWMF,0
508,Ladislav Krejčí,DF,1
509,Takefusa Kubo,MF,0
510,Brandley Kuwas,FWMF,0
511,Prince Kwabena Adu,FW,0
512,Maxence Lacroix,DF,0
513,Gustaf Lagerbielke,DF,0
514,Konrad Laimer,MFDF,1
515,Ali Lajami,DF,0
516,Senne Lammens,GK,0
517,Noa Lang,FWMF,0
518,Sondre Langås,DF,0
519,Aymeric Laporte,DF,1
520,Cyle Larin,FW,2
521,Richie Laryea,DF,1
522,Mohanad Lasheen,MF,2
523,Issa Laye,MFDF,0
524,Rafael Leão,MF,0
525,Mathew Leckie,MF,0
526,Jefferson Lerma,MF,1
527,Jamie Leweling,FWMF,0
528,Philipp Lienhart,DF,0
529,Victor Lindelöf,DFMF,0
530,Erik Lira,MF,0
531,Dominik Livaković,GK,0
532,Dailon Livramento,FW,0
533,Marcos Llorente,DF,0
534,Giovani Lo Celso,MF,0
535,Jürgen Locadia,FW,0
536,Azarías Londoño,MF,0
537,Sidny Lopes Cabral,DF,2
538,Flaco López,FW,1
539,Derrick Luckassen,DF,0
540,Jhon Lucumí,DF,1
541,José Luis Rodríguez,MFFW,0
542,Romelu Lukaku,FW,1
543,Dodi Lukebakio,MF,0
544,Jovo Lukić,FW,1
545,Awer Mabil,FWMF,0
546,Alexis Mac Allister,MF,1
547,Deiver Machado,DF,0
548,Shuto Machino,FW,0
549,Assim Madibo,MF,0
550,Noni Madueke,MF,0
551,Daizen Maeda,MF,0
552,Gabriel Magalhães,DF,0
553,Ermin Mahmić,MF,1
554,Hadj Mahmoud,MF,0
555,Riyad Mahrez,MF,0
556,Alexandro Maidana,DF,0
557,Mike Maignan,GK,0
558,Evidence Makgopa,FW,0
559,Ahmed Maknzi,DF,0
560,Donyell Malen,FW,0
561,Arjan Malic,DF,0
562,Mohamed Manai,DF,0
563,Aïssa Mandi,DF,0
564,Sadio Mané,MFFW,0
565,Juan Manuel Sanabria,DF,1
566,Johan Manzambi,MFFW,0
567,Mahmoud Al-Mardi,MF,0
